source,target,type
synthetic_fraud_1_4,synthetic_fraud_1_6,synthetic
synthetic_fraud_1_4,synthetic_fraud_1_7,synthetic
synthetic_fraud_1_5,synthetic_fraud_1_6,synthetic
synthetic_fraud_1_5,synthetic_fraud_1_7,synthetic
synthetic_fraud_1_6,synthetic_fraud_1_7,synthetic
synthetic_fraud_2_0,synthetic_fraud_2_1,synthetic
synthetic_fraud_2_0,synthetic_fraud_2_2,synthetic
synthetic_fraud_2_0,synthetic_fraud_2_3,synthetic
synthetic_fraud_2_0,synthetic_fraud_2_4,synthetic
synthetic_fraud_2_0,synthetic_fraud_2_5,synthetic
synthetic_fraud_2_0,synthetic_fraud_2_6,synthetic
synthetic_fraud_2_0,synthetic_fraud_2_7,synthetic
synthetic_fraud_2_1,synthetic_fraud_2_2,synthetic
synthetic_fraud_2_1,synthetic_fraud_2_3,synthetic
synthetic_fraud_2_1,synthetic_fraud_2_4,synthetic
synthetic_fraud_2_1,synthetic_fraud_2_5,synthetic
synthetic_fraud_2_1,synthetic_fraud_2_6,synthetic
synthetic_fraud_2_1,synthetic_fraud_2_7,synthetic
synthetic_fraud_2_2,synthetic_fraud_2_3,synthetic
synthetic_fraud_2_2,synthetic_fraud_2_4,synthetic
synthetic_fraud_2_2,synthetic_fraud_2_5,synthetic
synthetic_fraud_2_2,synthetic_fraud_2_6,synthetic
synthetic_fraud_2_2,synthetic_fraud_2_7,synthetic
synthetic_fraud_2_3,synthetic_fraud_2_4,synthetic
synthetic_fraud_2_3,synthetic_fraud_2_5,synthetic
synthetic_fraud_2_3,synthetic_fraud_2_6,synthetic
synthetic_fraud_2_3,synthetic_fraud_2_7,synthetic
synthetic_fraud_2_4,synthetic_fraud_2_5,synthetic
synthetic_fraud_2_4,synthetic_fraud_2_6,synthetic
synthetic_fraud_2_4,synthetic_fraud_2_7,synthetic
synthetic_fraud_2_5,synthetic_fraud_2_6,synthetic
synthetic_fraud_2_5,synthetic_fraud_2_7,synthetic
synthetic_fraud_2_6,synthetic_fraud_2_7,synthetic
synthetic_fraud_3_0,synthetic_fraud_3_1,synthetic
synthetic_fraud_3_0,synthetic_fraud_3_2,synthetic
synthetic_fraud_3_0,synthetic_fraud_3_3,synthetic
synthetic_fraud_3_0,synthetic_fraud_3_4,synthetic
synthetic_fraud_3_0,synthetic_fraud_3_5,synthetic
synthetic_fraud_3_0,synthetic_fraud_3_6,synthetic
synthetic_fraud_3_0,synthetic_fraud_3_7,synthetic
synthetic_fraud_3_1,synthetic_fraud_3_2,synthetic
synthetic_fraud_3_1,synthetic_fraud_3_3,synthetic
synthetic_fraud_3_1,synthetic_fraud_3_4,synthetic
synthetic_fraud_3_1,synthetic_fraud_3_5,synthetic
synthetic_fraud_3_1,synthetic_fraud_3_6,synthetic
synthetic_fraud_3_1,synthetic_fraud_3_7,synthetic
synthetic_fraud_3_2,synthetic_fraud_3_3,synthetic
synthetic_fraud_3_2,synthetic_fraud_3_4,synthetic
synthetic_fraud_3_2,synthetic_fraud_3_5,synthetic
synthetic_fraud_3_2,synthetic_fraud_3_6,synthetic
synthetic_fraud_3_2,synthetic_fraud_3_7,synthetic
synthetic_fraud_3_3,synthetic_fraud_3_4,synthetic
synthetic_fraud_3_3,synthetic_fraud_3_5,synthetic
synthetic_fraud_3_3,synthetic_fraud_3_6,synthetic
synthetic_fraud_3_3,synthetic_fraud_3_7,synthetic
synthetic_fraud_3_4,synthetic_fraud_3_5,synthetic
synthetic_fraud_3_4,synthetic_fraud_3_6,synthetic
synthetic_fraud_3_4,synthetic_fraud_3_7,synthetic
synthetic_fraud_3_5,synthetic_fraud_3_6,synthetic
synthetic_fraud_3_5,synthetic_fraud_3_7,synthetic
synthetic_fraud_3_6,synthetic_fraud_3_7,synthetic
synthetic_fraud_4_0,synthetic_fraud_4_1,synthetic
synthetic_fraud_4_0,synthetic_fraud_4_2,synthetic
synthetic_fraud_4_0,synthetic_fraud_4_3,synthetic
synthetic_fraud_4_0,synthetic_fraud_4_4,synthetic
synthetic_fraud_4_0,synthetic_fraud_4_5,synthetic
synthetic_fraud_4_0,synthetic_fraud_4_6,synthetic
synthetic_fraud_4_0,synthetic_fraud_4_7,synthetic
synthetic_fraud_4_1,synthetic_fraud_4_2,synthetic
synthetic_fraud_4_1,synthetic_fraud_4_3,synthetic
synthetic_fraud_4_1,synthetic_fraud_4_4,synthetic
synthetic_fraud_4_1,synthetic_fraud_4_5,synthetic
synthetic_fraud_4_1,synthetic_fraud_4_6,synthetic
synthetic_fraud_4_1,synthetic_fraud_4_7,synthetic
synthetic_fraud_4_2,synthetic_fraud_4_3,synthetic
synthetic_fraud_4_2,synthetic_fraud_4_4,synthetic
synthetic_fraud_4_2,synthetic_fraud_4_5,synthetic
synthetic_fraud_4_2,synthetic_fraud_4_6,synthetic
synthetic_fraud_4_2,synthetic_fraud_4_7,synthetic
synthetic_fraud_4_3,synthetic_fraud_4_4,synthetic
synthetic_fraud_4_3,synthetic_fraud_4_5,synthetic
synthetic_fraud_4_3,synthetic_fraud_4_6,synthetic
synthetic_fraud_4_3,synthetic_fraud_4_7,synthetic
synthetic_fraud_4_4,synthetic_fraud_4_5,synthetic
synthetic_fraud_4_4,synthetic_fraud_4_6,synthetic
synthetic_fraud_4_4,synthetic_fraud_4_7,synthetic
synthetic_fraud_4_5,synthetic_fraud_4_6,synthetic
synthetic_fraud_4_5,synthetic_fraud_4_7,synthetic
synthetic_fraud_4_6,synthetic_fraud_4_7,synthetic
