ruleScore,lstmProb,gnnProb,autoMSE,geoSpeed,clusterSize,label
4.55,0.05,0.09,0.5,74.53,1,0
4.35,0.21,0.24,1.2,21.9,1,0
8.94,0.84,0.65,5.9,738.37,14,1
2.26,0.09,0.18,0.42,70.55,1,0
5.17,0.72,0.91,4.94,1161.56,4,1
0.74,0.17,0.03,2.99,200.88,1,0
6.99,0.77,0.92,5.45,1862.46,19,1
0.33,0.31,0.18,1.57,176.31,2,0
3.83,0.04,0.13,0.23,301.3,2,0
8.22,0.76,0.61,4.09,527.14,10,1
5.98,0.8,0.84,5.37,2308.68,11,1
6.22,0.89,0.94,8.81,1935.74,18,1
5.43,0.85,0.89,8.94,2289.95,5,1
4.09,0.14,0.1,1.14,236.12,2,0
1.73,0.31,0.15,2.58,87.8,2,0
0.7,0.35,0.19,2.68,319.94,1,0
2.56,0.3,0.28,1.21,87.21,2,0
4.92,0.21,0.07,0.82,7.36,2,0
4.08,0.2,0.03,1.22,198.99,2,0
5.05,0.65,0.96,9.12,1820.88,10,1
4.19,0.16,0.31,1.27,141.55,2,0
0.41,0.24,0.1,1.17,115.48,2,0
3.61,0.24,0.38,1.19,381.63,2,0
1.07,0.01,0.1,1.79,20.57,2,0
0.77,0.25,0.19,1.03,140.62,1,0
3.44,0.17,0.1,2.46,319.77,2,0
0.03,0.04,0.13,2.42,384.84,1,0
2.23,0.07,0.22,2.62,292.89,1,0
3.62,0.25,0.39,2.71,258.67,1,0
4.72,0.02,0.28,2.78,72.23,1,0
1.56,0.05,0.29,0.58,46.11,1,0
2.37,0.34,0.34,0.96,331.57,1,0
1.82,0.22,0.19,2.65,212.11,2,0
0.33,0.13,0.22,2.37,127.5,2,0
2.13,0.35,0.17,1.39,396.14,1,0
2.64,0.38,0.32,2.99,140.28,2,0
5.19,0.79,0.83,4.9,955.89,7,1
1.19,0.04,0.14,0.86,118.52,2,0
1.39,0.36,0.02,0.33,156.65,2,0
9.75,0.91,0.64,5.92,755.79,16,1
3.72,0.03,0.16,2.51,92.23,1,0
1.15,0.07,0.09,0.56,311.83,2,0
3.15,0.09,0.21,1.79,210.01,1,0
8.79,0.88,0.66,8.71,1180.49,12,1
4.3,0.18,0.16,0.82,190.67,1,0
4.31,0.32,0.26,1.65,34.79,2,0
5.03,0.88,0.62,6.73,87.58,1,1
2.48,0.19,0.24,2.47,139.12,2,0
4.32,0.29,0.21,2.6,98.11,1,0
3.54,0.33,0.28,2.04,247.44,2,0
9.41,0.98,0.79,9.15,2193.91,10,1
9.09,0.93,0.8,3.04,1848.78,1,1
6.88,0.6,0.93,3.9,831.33,5,1
8.16,0.97,0.64,9.56,54.27,4,1
3.54,0.19,0.02,0.22,340.97,2,0
4.84,0.3,0.05,2.27,9.83,1,0
1.86,0.33,0.1,0.0,63.58,2,0
2.13,0.18,0.07,2.38,277.47,2,0
3.86,0.09,0.05,2.6,385.29,2,0
9.72,0.77,0.86,5.78,2472.76,15,1
3.73,0.08,0.35,2.14,225.1,2,0
4.84,0.07,0.35,2.33,308.37,2,0
0.09,0.32,0.12,2.74,387.0,2,0
2.41,0.05,0.05,2.06,172.12,2,0
5.8,0.86,0.73,7.13,2473.4,8,1
6.96,0.79,0.84,5.04,688.1,11,1
3.75,0.06,0.04,1.71,7.35,2,0
3.51,0.22,0.0,0.98,207.08,1,0
0.41,0.33,0.14,0.97,390.99,2,0
4.0,0.08,0.07,0.31,254.57,1,0
2.97,0.25,0.25,0.9,374.08,2,0
4.01,0.14,0.33,0.24,357.93,2,0
3.92,0.19,0.02,0.49,175.44,2,0
6.24,0.66,0.95,4.53,269.52,10,1
5.22,0.66,0.61,7.57,1722.21,15,1
8.4,0.63,0.61,4.8,2276.06,16,1
3.14,0.29,0.31,1.51,217.32,1,0
2.19,0.29,0.19,2.62,360.28,2,0
4.96,0.11,0.14,1.15,186.33,1,0
0.66,0.29,0.36,0.54,95.02,2,0
2.07,0.03,0.17,0.29,162.01,2,0
1.8,0.24,0.07,1.17,387.76,2,0
0.05,0.24,0.24,1.19,94.81,1,0
5.37,0.67,0.81,5.36,344.71,14,1
1.26,0.14,0.15,1.82,142.69,2,0
4.22,0.32,0.23,2.6,82.34,1,0
9.93,0.65,0.69,3.36,179.76,14,1
7.54,0.62,0.66,9.91,3.95,2,1
2.9,0.1,0.21,1.03,212.9,1,0
6.54,0.88,0.68,7.71,75.12,19,1
9.82,0.7,0.86,9.85,829.78,13,1
2.85,0.01,0.37,2.07,270.61,1,0
4.13,0.27,0.23,1.05,63.71,2,0
9.89,0.76,0.95,8.48,2055.36,1,1
4.63,0.18,0.36,2.63,126.88,1,0
0.6,0.22,0.0,0.97,146.58,1,0
1.9,0.22,0.24,1.64,177.77,2,0
8.02,0.87,0.85,6.24,2267.67,9,1
4.07,0.04,0.06,1.58,98.43,2,0
3.82,0.33,0.29,2.87,7.29,1,0
9.48,0.63,0.98,7.58,1135.16,6,1
7.43,0.7,0.71,5.15,431.33,7,1
2.0,0.39,0.33,1.57,49.29,2,0
7.63,0.88,0.64,6.97,2436.98,10,1
1.87,0.21,0.04,0.01,255.19,1,0
1.14,0.08,0.24,1.23,335.94,2,0
2.78,0.1,0.12,2.2,340.47,1,0
0.48,0.25,0.18,1.76,67.21,1,0
2.36,0.21,0.07,0.94,92.1,1,0
1.16,0.16,0.24,1.49,395.11,1,0
3.38,0.18,0.18,2.17,6.33,2,0
5.52,0.89,0.83,4.92,945.62,3,1
6.83,0.74,0.85,6.1,535.68,19,1
4.4,0.26,0.21,0.97,133.2,2,0
6.89,0.75,1.0,6.12,1786.81,8,1
8.45,0.68,0.81,3.68,2085.48,15,1
2.37,0.15,0.05,2.92,8.01,2,0
2.7,0.34,0.21,1.87,35.65,1,0
3.04,0.2,0.06,0.19,47.06,1,0
6.8,0.64,0.97,6.88,1474.87,7,1
0.81,0.31,0.23,1.7,156.42,2,0
0.58,0.33,0.15,2.63,347.22,2,0
6.06,0.93,0.73,3.16,1180.14,2,1
4.11,0.05,0.34,2.77,194.82,2,0
4.15,0.13,0.38,2.48,266.52,2,0
5.13,0.65,0.99,6.85,346.0,17,1
1.39,0.34,0.0,0.05,241.02,1,0
5.31,0.91,0.78,3.41,46.22,12,1
5.85,0.63,0.91,4.86,1975.75,7,1
4.07,0.25,0.12,1.87,210.82,1,0
3.96,0.16,0.26,1.06,210.2,2,0
3.67,0.31,0.0,1.25,192.54,2,0
2.91,0.27,0.08,1.86,129.4,2,0
9.88,0.92,0.98,6.41,1731.53,7,1
5.75,0.65,0.95,4.7,648.55,16,1
3.93,0.36,0.38,2.36,126.16,1,0
0.38,0.11,0.37,0.76,312.47,2,0
3.3,0.36,0.25,1.84,26.66,2,0
0.53,0.4,0.18,0.14,15.21,1,0
0.36,0.03,0.0,2.87,295.0,2,0
4.96,0.39,0.38,2.35,141.94,2,0
8.3,0.91,0.71,3.15,2445.36,19,1
9.88,0.87,0.6,4.79,917.73,3,1
9.84,0.92,0.72,9.86,465.94,19,1
0.78,0.02,0.04,1.8,38.0,2,0
7.2,0.85,0.98,4.68,1135.7,1,1
9.08,0.94,0.94,9.43,2083.57,11,1
2.79,0.07,0.02,0.96,301.27,1,0
0.22,0.07,0.05,2.18,327.11,1,0
0.75,0.14,0.17,2.27,297.37,1,0
7.83,0.88,0.95,7.45,128.06,19,1
3.71,0.35,0.11,0.58,351.93,2,0
7.78,0.89,0.85,4.32,2132.45,9,1
4.2,0.33,0.0,2.25,303.47,2,0
5.74,0.72,0.95,9.97,1562.64,11,1
5.69,0.87,0.6,4.25,1083.7,16,1
7.94,0.79,0.86,3.45,1754.52,17,1
3.0,0.24,0.01,0.97,254.6,1,0
6.67,0.91,0.88,8.52,1548.34,10,1
1.18,0.15,0.03,2.4,306.64,1,0
3.21,0.17,0.25,2.36,47.33,2,0
3.74,0.3,0.38,0.61,226.22,2,0
5.13,0.61,0.93,4.91,1307.83,2,1
1.13,0.15,0.18,1.44,174.07,2,0
0.67,0.03,0.29,1.49,174.74,1,0
5.29,0.69,0.65,5.79,377.65,11,1
6.41,0.7,0.7,9.34,1262.31,13,1
1.34,0.06,0.34,0.14,247.88,1,0
7.66,0.76,0.74,9.3,1928.44,3,1
1.97,0.33,0.32,1.87,197.79,1,0
8.27,0.68,0.83,6.25,486.82,12,1
8.6,0.77,0.64,7.79,2466.88,15,1
0.34,0.28,0.22,0.25,183.32,1,0
5.7,0.87,0.69,3.68,368.13,15,1
7.56,0.92,0.78,3.36,161.09,7,1
3.79,0.3,0.01,0.38,263.85,2,0
1.19,0.18,0.39,2.32,10.87,1,0
6.72,0.71,0.76,8.59,1567.88,14,1
4.82,0.08,0.21,0.86,317.14,2,0
6.56,0.86,0.68,9.28,1560.92,5,1
9.29,0.96,0.71,9.88,1143.43,8,1
4.1,0.13,0.32,2.9,342.75,1,0
2.53,0.39,0.17,2.95,267.17,1,0
9.99,0.99,0.86,3.91,74.42,7,1
0.4,0.29,0.07,2.57,327.63,2,0
8.8,1.0,0.96,7.56,1232.35,2,1
8.56,0.93,0.64,4.68,1391.5,13,1
2.18,0.23,0.3,2.42,337.49,1,0
0.63,0.27,0.13,2.06,27.86,1,0
8.28,1.0,0.63,3.54,2272.86,18,1
5.17,0.72,0.86,9.57,612.85,16,1
3.25,0.35,0.0,0.51,155.9,2,0
4.32,0.22,0.15,2.93,44.29,2,0
7.11,0.61,0.99,3.89,778.22,3,1
0.09,0.39,0.29,0.91,331.76,2,0
2.25,0.09,0.05,0.21,105.33,1,0
7.34,0.72,0.84,5.08,2063.43,7,1
4.39,0.13,0.14,2.97,250.47,2,0
8.97,0.61,0.83,9.97,417.16,7,1
7.44,0.9,0.81,3.23,51.75,1,1
0.41,0.36,0.19,0.41,136.33,2,0
8.04,0.85,0.84,7.92,1671.02,9,1
4.85,0.11,0.11,1.42,393.54,2,0
0.35,0.1,0.14,1.42,18.26,2,0
7.35,0.78,0.79,7.36,1560.7,4,1
0.03,0.0,0.09,0.11,43.21,2,0
2.19,0.09,0.16,0.13,111.13,2,0
8.09,0.65,0.74,6.55,394.84,6,1
4.65,0.07,0.16,2.19,352.9,1,0
3.04,0.12,0.33,2.87,328.48,2,0
0.01,0.29,0.33,0.12,348.64,2,0
6.92,0.78,0.75,3.85,2077.0,13,1
8.75,0.77,0.86,7.53,478.95,6,1
3.06,0.35,0.29,0.36,360.98,2,0
4.96,0.33,0.28,1.6,179.54,1,0
0.22,0.05,0.22,1.03,291.67,1,0
6.94,0.94,0.76,3.54,2264.96,15,1
4.11,0.34,0.37,1.29,127.55,2,0
6.85,0.61,0.76,6.68,1081.57,8,1
1.73,0.06,0.01,1.94,254.76,1,0
8.96,0.84,0.64,8.93,2230.93,9,1
3.44,0.06,0.19,0.08,202.18,1,0
5.5,0.68,0.97,5.9,1332.45,8,1
9.5,0.65,0.98,5.2,482.35,1,1
8.03,0.66,0.61,9.8,784.09,16,1
3.81,0.33,0.18,0.91,103.73,1,0
7.54,0.87,0.69,8.81,1080.91,16,1
8.13,0.8,0.76,9.96,498.72,13,1
3.65,0.06,0.34,2.13,362.78,1,0
4.55,0.29,0.21,2.61,52.26,1,0
0.29,0.27,0.19,0.1,387.84,1,0
4.9,0.19,0.35,1.77,150.13,2,0
2.81,0.18,0.24,2.76,144.91,1,0
4.9,0.16,0.33,2.29,229.41,1,0
4.98,0.02,0.0,1.92,119.37,2,0
9.42,0.78,0.8,7.39,15.29,16,1
9.36,0.81,0.85,7.51,266.73,17,1
0.04,0.4,0.27,2.49,117.85,1,0
6.71,0.85,0.63,3.04,657.54,1,1
3.07,0.04,0.2,0.23,163.02,2,0
6.53,0.82,0.85,7.04,4.87,9,1
5.38,0.8,0.92,7.95,923.93,18,1
9.32,0.76,0.72,4.07,837.45,10,1
8.2,0.99,0.84,5.5,98.34,3,1
2.27,0.33,0.22,1.91,210.51,2,0
4.11,0.32,0.22,1.56,57.15,1,0
2.01,0.06,0.35,2.47,288.69,1,0
1.59,0.0,0.2,0.14,110.47,2,0
2.92,0.19,0.14,2.82,33.09,2,0
6.8,0.71,0.94,5.19,713.5,4,1
9.68,0.87,0.65,3.3,2381.29,3,1
5.83,0.89,0.87,9.76,760.62,17,1
7.38,0.85,1.0,3.73,1454.7,3,1
1.04,0.15,0.15,0.16,307.03,2,0
2.08,0.29,0.15,2.61,292.2,2,0
8.39,0.84,0.72,3.96,590.88,15,1
8.41,0.79,0.83,3.6,1933.67,2,1
1.34,0.33,0.01,1.14,134.94,2,0
4.74,0.01,0.29,0.99,362.43,2,0
7.32,0.99,0.81,7.74,2115.79,11,1
9.29,0.83,0.63,5.68,1108.96,19,1
8.87,0.81,0.74,5.6,1309.66,10,1
3.38,0.22,0.33,1.82,116.46,1,0
6.51,0.63,0.69,4.73,2070.66,13,1
4.95,0.1,0.21,1.95,257.84,2,0
6.83,0.69,0.68,3.99,625.06,14,1
2.64,0.36,0.07,1.93,323.94,1,0
1.45,0.19,0.36,2.12,24.88,1,0
2.49,0.09,0.02,1.25,120.77,2,0
7.5,0.87,0.63,4.92,367.73,16,1
2.8,0.35,0.19,2.69,269.74,1,0
3.97,0.34,0.1,2.88,78.77,1,0
2.03,0.38,0.21,0.66,183.59,2,0
0.37,0.25,0.39,0.57,317.04,1,0
8.49,0.76,0.98,9.77,2252.18,7,1
8.2,0.87,0.67,6.96,399.12,13,1
1.88,0.22,0.32,0.14,323.23,2,0
3.64,0.04,0.17,0.09,192.36,1,0
9.51,0.66,1.0,9.68,1671.62,6,1
8.77,0.97,0.98,7.04,2138.83,7,1
2.08,0.34,0.36,2.63,389.75,1,0
1.1,0.02,0.01,0.53,346.71,1,0
7.16,0.89,0.83,5.99,2227.42,10,1
4.73,0.36,0.17,2.34,190.53,1,0
1.02,0.1,0.12,1.78,13.12,2,0
5.35,0.98,0.8,5.87,668.66,5,1
1.76,0.33,0.21,1.39,18.16,2,0
5.19,0.65,0.91,3.0,1688.27,13,1
6.02,0.6,0.77,9.18,1124.9,6,1
3.71,0.34,0.17,0.91,130.12,1,0
6.36,0.65,0.73,10.0,1174.83,9,1
3.31,0.03,0.22,2.13,66.93,1,0
1.34,0.25,0.19,1.09,379.68,1,0
3.8,0.04,0.21,1.53,147.71,1,0
5.8,0.67,0.64,8.62,1012.71,1,1
9.04,0.68,0.74,5.35,685.23,15,1
2.18,0.22,0.12,1.45,202.67,2,0
1.92,0.01,0.34,0.03,281.48,2,0
0.49,0.22,0.2,2.12,213.72,2,0
7.52,0.89,0.95,4.25,442.17,14,1
4.04,0.27,0.25,0.95,326.56,1,0
1.25,0.25,0.23,2.5,362.43,2,0
5.81,0.67,0.61,5.73,1499.81,1,1
2.02,0.03,0.31,0.86,173.11,1,0
0.36,0.08,0.15,2.95,313.94,1,0
0.99,0.17,0.3,0.3,111.14,2,0
4.57,0.0,0.18,2.93,41.25,2,0
7.02,0.9,0.88,5.96,1475.94,13,1
3.7,0.25,0.22,2.07,57.58,1,0
5.38,0.98,0.72,3.64,1860.2,17,1
3.52,0.15,0.23,1.35,268.82,2,0
6.36,0.84,0.95,9.63,1063.21,2,1
0.03,0.31,0.25,1.12,20.2,1,0
7.91,0.7,0.78,9.7,2227.66,19,1
8.32,0.8,0.9,5.29,67.44,3,1
7.17,0.89,0.6,7.13,510.15,7,1
8.27,0.93,0.62,9.38,1405.15,14,1
5.31,0.78,0.89,7.25,64.92,2,1
1.92,0.2,0.11,2.36,158.98,2,0
3.69,0.21,0.03,1.11,368.31,2,0
1.67,0.35,0.37,2.58,14.0,1,0
3.15,0.1,0.28,1.28,177.02,2,0
8.92,0.77,0.8,8.5,1141.87,10,1
7.46,0.97,0.64,8.35,1913.8,9,1
7.58,0.91,0.98,8.23,661.19,7,1
6.55,0.7,0.81,6.75,1401.44,1,1
1.08,0.32,0.31,1.9,149.41,2,0
4.38,0.04,0.16,1.66,201.25,2,0
3.97,0.35,0.14,1.39,165.81,1,0
0.8,0.27,0.07,2.08,91.84,1,0
8.7,0.95,0.81,8.53,1720.33,17,1
9.45,0.7,0.74,3.74,1682.68,17,1
6.22,0.71,0.73,8.25,2476.62,4,1
7.7,0.88,0.88,4.2,1500.33,2,1
9.73,0.88,0.8,9.53,2466.74,16,1
9.48,0.68,0.8,5.93,2147.69,16,1
9.43,0.69,0.89,9.17,557.82,16,1
4.22,0.19,0.13,2.37,180.52,1,0
2.02,0.19,0.01,1.23,259.11,2,0
1.02,0.03,0.35,1.17,216.7,2,0
2.73,0.39,0.18,1.54,395.69,2,0
2.8,0.13,0.09,1.05,149.01,1,0
1.87,0.15,0.02,1.05,371.72,2,0
8.31,0.79,0.6,8.63,438.74,11,1
7.74,0.81,0.74,7.74,11.7,15,1
0.85,0.08,0.36,2.25,363.29,1,0
2.17,0.31,0.34,1.62,303.31,2,0
3.58,0.11,0.08,0.94,96.6,1,0
4.34,0.29,0.3,1.67,233.87,2,0
9.11,0.86,0.92,4.9,211.25,2,1
7.64,0.93,0.79,4.95,659.01,8,1
3.89,0.3,0.08,0.27,279.58,2,0
6.09,0.79,0.71,5.91,659.46,17,1
1.62,0.36,0.36,0.98,360.38,2,0
0.47,0.3,0.33,2.12,386.91,1,0
1.63,0.3,0.32,2.57,399.05,1,0
1.52,0.13,0.38,2.68,339.67,2,0
1.56,0.26,0.09,0.04,305.74,2,0
1.54,0.05,0.2,0.02,375.37,1,0
2.93,0.23,0.4,2.27,176.92,2,0
7.89,0.83,0.95,5.65,1851.5,8,1
4.91,0.26,0.32,2.15,237.26,1,0
4.16,0.14,0.35,0.33,370.02,2,0
3.45,0.28,0.26,0.83,62.48,2,0
2.07,0.08,0.02,1.74,181.16,2,0
5.1,0.91,0.84,7.9,642.25,3,1
4.77,0.35,0.23,2.5,257.03,2,0
2.96,0.14,0.02,0.1,169.33,2,0
3.08,0.1,0.28,1.79,200.63,1,0
0.98,0.29,0.11,2.41,398.9,2,0
8.46,0.84,0.85,9.59,102.35,8,1
4.08,0.34,0.38,0.26,154.24,2,0
5.84,0.79,0.62,9.6,1545.38,8,1
4.84,0.18,0.11,2.39,130.5,2,0
5.1,0.93,0.75,5.48,2458.13,7,1
6.71,0.95,0.66,3.58,1314.11,19,1
7.39,0.91,0.72,5.18,1096.21,1,1
1.53,0.33,0.02,1.26,183.37,1,0
7.74,1.0,0.87,4.39,1014.81,19,1
1.86,0.08,0.2,2.22,197.03,2,0
3.29,0.05,0.32,0.37,279.41,1,0
0.63,0.08,0.38,0.53,227.09,1,0
4.35,0.16,0.39,2.8,296.64,1,0
7.85,0.67,0.71,4.53,2203.71,16,1
2.79,0.15,0.31,0.76,375.56,2,0
7.78,0.94,0.92,4.23,176.4,13,1
2.94,0.3,0.25,1.8,21.41,2,0
0.76,0.18,0.14,0.28,194.45,2,0
4.72,0.24,0.37,2.36,235.98,1,0
3.8,0.06,0.19,1.29,238.76,1,0
1.88,0.28,0.19,2.02,305.16,2,0
7.55,0.85,0.96,6.57,885.41,4,1
4.64,0.4,0.32,2.26,86.2,2,0
8.62,0.64,0.84,4.97,1445.58,2,1
7.84,0.86,0.68,6.9,668.05,2,1
5.1,0.93,0.81,8.43,1386.64,6,1
5.21,0.85,0.84,7.57,1302.61,8,1
3.7,0.11,0.11,2.89,4.11,2,0
1.73,0.17,0.32,0.83,56.9,2,0
6.31,0.74,0.93,9.55,1433.27,3,1
5.81,0.84,0.66,9.78,1652.58,17,1
9.52,0.86,0.71,4.24,995.15,1,1
6.06,0.87,0.76,5.82,716.45,3,1
5.54,0.78,0.89,9.58,690.51,1,1
2.66,0.12,0.2,0.9,238.43,2,0
2.92,0.16,0.14,0.14,87.16,1,0
4.66,0.33,0.23,1.97,359.35,2,0
4.71,0.03,0.1,2.34,39.49,1,0
0.59,0.39,0.09,0.2,237.94,1,0
3.08,0.35,0.09,2.62,315.8,2,0
9.69,0.93,0.99,4.82,344.99,10,1
5.14,0.81,0.69,9.93,1034.4,13,1
4.1,0.19,0.14,1.09,322.29,1,0
0.78,0.33,0.14,2.74,226.28,2,0
9.04,0.93,0.75,6.21,2385.34,9,1
7.1,0.84,0.97,5.18,1912.07,7,1
3.57,0.03,0.17,0.35,245.12,1,0
8.47,0.86,0.69,7.77,37.43,16,1
6.28,0.64,0.74,5.89,526.53,18,1
7.78,0.61,0.96,4.09,1681.07,6,1
7.51,0.89,0.98,4.54,747.44,2,1
6.43,0.64,0.73,3.3,318.58,17,1
9.16,0.82,0.94,6.02,2355.6,5,1
7.74,0.71,0.96,4.51,447.52,3,1
4.83,0.16,0.29,1.04,268.44,2,0
5.66,0.75,0.85,6.18,798.1,17,1
0.6,0.38,0.07,1.87,89.07,1,0
4.58,0.31,0.05,1.7,176.9,2,0
0.42,0.16,0.04,0.05,264.69,2,0
5.38,0.69,0.93,9.64,1249.68,5,1
2.1,0.02,0.02,1.72,157.16,1,0
4.73,0.31,0.13,0.74,279.09,2,0
9.87,0.82,0.71,7.97,2337.21,17,1
5.47,0.76,0.67,4.55,1240.96,13,1
7.25,0.73,0.95,3.58,2079.2,15,1
3.64,0.19,0.28,1.66,86.5,1,0
3.8,0.06,0.06,0.8,144.43,2,0
5.86,0.93,0.83,5.36,197.22,2,1
6.56,0.65,0.64,7.54,632.42,19,1
1.98,0.06,0.3,1.08,268.51,1,0
0.15,0.18,0.2,0.35,67.62,1,0
2.89,0.35,0.12,1.4,247.76,2,0
8.09,0.87,0.8,7.51,1530.36,14,1
3.9,0.01,0.33,0.12,355.97,2,0
8.26,0.91,0.92,7.22,903.71,5,1
4.23,0.13,0.27,1.78,241.26,2,0
5.01,0.75,0.66,3.13,2403.21,11,1
1.09,0.02,0.05,1.82,339.78,1,0
9.98,0.67,0.84,5.88,847.33,12,1
5.14,0.85,0.77,6.84,1303.08,17,1
9.03,0.84,0.67,3.17,1729.38,2,1
4.32,0.06,0.34,2.97,290.74,1,0
4.5,0.32,0.27,2.04,378.37,1,0
8.78,0.63,0.97,5.28,1552.02,15,1
8.33,0.82,0.74,3.94,2213.58,2,1
9.47,0.86,0.72,5.09,10.91,15,1
5.06,0.82,0.94,9.7,1674.58,12,1
8.33,1.0,0.69,5.73,1034.63,10,1
2.22,0.21,0.35,2.99,233.09,1,0
7.38,0.73,0.8,9.02,1980.91,15,1
7.89,0.88,0.88,8.27,399.97,16,1
3.37,0.31,0.12,1.48,318.6,1,0
5.63,0.99,0.64,6.35,1720.34,6,1
4.88,0.19,0.03,0.14,118.27,1,0
7.49,0.88,0.7,5.15,718.35,3,1
9.47,0.63,0.96,9.98,616.36,6,1
0.1,0.13,0.02,2.3,280.84,1,0
