amount,items,hour,day
1586.562862386748,3,10,1
1021.9942268850897,4,12,5
1308.405114785763,2,18,1
537.8941988027774,5,11,1
536.2530063538462,2,19,3
1049.036464547769,4,15,4
564.3727935658056,2,11,3
666.8325194983997,5,17,5
1029.5324572391457,1,14,2
951.0564925323357,5,12,5
2164.0575797189185,1,19,4
1139.1969075097963,5,14,2
1260.3436203177826,3,14,1
1709.6278183850648,1,18,1
1458.0692619799347,1,20,1
2280.8127766545945,5,11,4
1490.4513287127945,5,17,5
1584.2403851302106,1,15,1
895.583290153081,4,13,4
1853.6210862141966,4,13,1
1396.0159043735575,3,12,3
584.2657468363552,5,10,4
685.3091007714345,4,16,1
2380.042866809281,3,14,2
1326.4067803364824,2,11,5
1397.563154525647,4,13,2
1922.1410055591682,5,10,3
2234.288844006604,1,9,1
1961.6591116343768,5,19,4
1330.2267718484177,2,18,1
2171.973946677985,3,11,3
1450.4987669261618,3,13,3
723.0067095419472,2,9,5
1646.5869932878068,1,12,5
1021.9242245812561,3,15,5
2121.8107962447802,4,15,3
1941.718893102627,3,16,5
1228.4333931571655,5,18,2
1644.2008299364375,1,18,1
1829.856511983147,1,16,5
2306.033534228256,5,15,5
1565.435160816771,1,13,2
2373.188241444297,4,19,1
2144.60351692493,4,11,4
2374.2581402660335,5,17,4
2376.2515810607297,4,16,4
786.8378582071798,3,14,2
1047.2429826350856,2,14,2
799.982311270413,2,12,4
1625.8597377047267,3,17,2
2042.329350237019,4,14,1
2418.897276337312,5,16,4
1780.6860666769446,5,9,5
825.9751279819313,5,9,1
614.5491625062554,3,10,4
1320.3393272464286,1,12,2
1580.4184710646264,1,11,5
1955.367174468639,3,13,2
1986.0202973249206,1,13,5
1056.7550654380548,1,17,4
2240.9638786243468,4,9,4
2443.522033320457,2,19,4
1718.3463344616343,2,9,1
1702.2024722505967,5,17,4
777.0858127240583,4,12,1
1013.1685969086872,3,17,4
1084.0965152585059,4,16,3
1996.1601394482198,2,17,1
595.5723957116561,4,15,5
1425.9651128714688,5,20,5
929.8038906776753,3,18,5
1526.4393547986956,1,15,2
576.7252120134909,5,15,2
1897.7390506112476,1,15,1
822.9843669979457,1,16,4
2090.071169191643,1,17,1
1618.2098932061901,5,10,2
1989.031996521739,2,17,4
800.3022806153983,1,11,2
1739.479778620952,2,9,2
571.2347607932502,2,15,1
676.8375868318071,5,12,1
1625.035515692145,4,20,3
2427.09717830098,4,19,3
602.6314863542415,5,14,4
1510.8488548783882,2,13,3
1919.054850367382,2,15,5
1344.370855156762,1,13,2
2281.1466576436064,5,13,1
1337.9907749206259,4,11,3
911.9690498361751,5,9,4
1203.1807625717854,5,12,5
1746.4027967724123,3,20,5
2497.815799649951,1,13,4
1017.2101571119505,2,11,2
1186.7563730341137,2,11,1
2475.18677543144,1,11,1
1538.782774901185,3,20,3
821.6165821956158,3,15,2
903.1448097469088,3,9,2
2067.6646184602596,4,11,3
2163.4449033036617,4,20,1
918.8375441852447,2,13,2
969.8548655102645,1,12,1
653.4105492010038,1,14,5
1600.0748059460052,5,18,5
1991.3250399341812,2,20,2
1584.4316937553438,1,18,4
1600.3229446005926,2,17,3
2463.075112128704,5,15,1
1421.9076333767894,2,13,4
1129.453607137274,5,20,1
610.8479224984285,4,10,2
1735.5758693082892,5,16,1
1173.1243081002076,3,11,4
2044.9441096485646,1,15,3
2133.0945870926294,2,12,5
1956.399948321422,2,9,1
1541.9506313254096,2,13,2
929.7278494137538,3,13,3
1321.6520200418506,4,17,4
1124.947870170557,3,12,1
512.2137689842208,5,20,2
934.6376861971439,4,13,2
747.5295084064979,5,18,4
1215.0674200725439,3,9,5
2331.1653196499446,2,20,5
1893.4151341936977,3,14,3
1677.506089940063,2,17,2
1756.821955406339,1,20,3
1527.148243173147,2,17,5
2455.2938066265096,3,19,3
591.6120128119853,4,13,3
2271.938602137389,2,18,1
1990.560118824079,4,19,5
1610.7515169861904,5,18,4
2015.5140578199787,2,12,3
1016.44071956026,3,18,3
899.8097384410664,5,20,1
2393.7490268489573,5,13,5
965.6709489128112,1,9,4
824.4199597522677,1,14,1
2493.306775880973,1,15,1
1753.2265546762287,1,11,3
2157.689718302897,5,20,3
973.7054539200378,2,14,5
960.874225470917,5,16,3
1959.5906022476681,2,20,4
699.9977246049278,3,10,5
1542.005858215147,4,17,3
1310.293044773128,4,15,3
2462.24736976682,1,15,1
2306.345535576549,2,14,5
669.2637206415934,3,17,5
1460.2432448425075,4,14,4
1233.4078751887123,5,20,3
2467.880149471055,5,15,2
2372.6914243838737,1,9,3
2441.529869685746,3,16,1
1766.568703279977,2,12,1
898.2284824910529,4,18,2
1345.835197942179,1,14,1
2207.515379198641,1,16,1
2267.728404462541,5,11,3
736.4426415373529,5,9,1
1061.3506760207965,5,14,2
2274.7547091218994,3,14,4
1095.320455516207,4,16,5
1763.8468155787828,4,20,2
982.5202442385668,5,19,3
655.7802101634124,4,15,3
1395.1490888555195,5,17,5
1121.9027259194156,4,16,1
1933.1841993137452,2,13,2
1354.136340122186,2,11,5
2181.301861184252,5,19,1
1916.2715161927667,1,11,5
1164.2996667661819,3,20,2
2491.755311159487,2,11,5
1464.6524763752798,3,9,5
1328.1816387289482,4,10,4
1156.3486860089793,5,17,5
1664.2641803559598,4,19,2
2492.9323792957875,1,15,5
1922.006552468503,5,14,2
2346.2075816594906,2,14,4
1211.2206277030164,3,16,1
975.4168083208369,1,14,1
1698.6427030599032,1,12,3
1076.161000003941,5,9,5
1051.0415274074508,1,20,2
833.6883785070537,2,17,4
2472.1450640371354,5,14,2
2340.593058598002,2,12,3
2225.1999310332276,5,19,3
1478.0132455493829,3,16,4
1163.0598254523584,1,10,1
1741.334569594966,5,12,5
2207.063996495005,2,18,5
1463.0073109429716,2,20,2
1951.6246507227004,4,14,5
1002.9120138592104,4,19,5
1742.9365071941675,3,16,1
1794.0786324893172,3,9,4
517.6276550276868,5,18,2
2303.0655630979654,4,12,5
1308.9666309569247,3,15,4
1864.2746310994287,3,17,2
2150.7342201129527,5,13,3
2211.3850387486245,2,13,3
724.2081157516602,3,12,4
2192.0757867929087,2,19,1
2218.803651269452,5,13,3
2351.985219271479,2,11,2
1203.397521693871,3,10,3
1019.395317117194,1,18,1
1730.5026854221248,1,13,1
2337.8807755074968,5,11,5
1654.0261497177378,5,16,5
2460.848708492091,3,18,2
1643.7104719577508,3,19,1
818.2952259448198,4,16,4
2468.848860945474,3,16,5
1360.4667672492953,5,12,3
1026.7692900167795,4,9,5
2264.764602835475,5,14,4
500.07101138221753,5,17,3
1945.7570109260075,2,13,1
508.59696120604616,4,17,4
929.4787100599042,1,12,5
1162.6932169675083,1,14,1
2300.0013193751465,4,17,4
1955.8018854103384,1,16,3
718.0263874487154,1,15,3
2157.9852406209543,3,17,4
1305.069792898173,2,14,1
1417.605884283113,4,15,5
1232.6111940164747,3,20,3
1794.9630660772953,3,18,2
2419.7131122106543,5,17,1
1423.2110632110002,2,10,3
2179.2399144330584,5,19,4
628.5093278349669,4,10,1
1797.8176133709894,2,17,5
2213.9176587249717,4,14,3
1920.0425916648883,1,11,4
1995.5554372516299,3,17,4
2329.8915863191523,2,13,1
2384.532350441159,4,10,4
1805.8305012879007,2,11,1
890.5454017597903,1,15,4
1296.5040966210718,5,15,5
1237.9019769767754,1,20,1
1073.7983162700027,4,16,1
2480.101893669698,3,17,5
1963.4418257869831,5,17,4
632.093203930204,5,11,1
1711.884380284269,2,18,5
1993.398310754421,1,13,4
2278.099812276824,3,19,4
2201.4393018552146,2,17,5
584.9829469464627,5,11,4
718.3110517961628,5,15,5
2429.8399780788923,2,19,3
1718.424061199161,1,11,4
1980.8917465954075,3,12,5
996.6825417090392,1,17,3
1518.6683478081,1,19,1
1336.9158642345647,4,12,3
2054.972892133049,4,13,1
1452.6770540434995,3,19,5
2414.3573670981127,1,17,3
1385.9574086044,4,16,2
2255.765741268654,2,10,1
1271.9481747104853,3,20,1
2134.776173209263,4,11,1
1822.028762977689,1,10,2
2397.7078295968777,1,10,4
1216.4174325918802,3,19,4
1133.3873668877213,5,9,5
536.6220165323856,3,15,2
1842.6078503939118,5,15,4
1990.912083405812,4,16,5
586.5463002595384,5,16,2
976.9096301930014,3,12,3
2103.86779267565,2,9,1
1216.4226673790513,4,14,4
2422.141123492245,4,13,4
809.9698870562269,1,9,4
1521.32204347468,1,14,2
2005.8072927204566,3,16,4
2151.924545832281,1,13,5
1606.0901227757772,5,17,3
1617.2915137488392,1,18,3
1816.4105320032506,1,17,1
1576.0102449148742,5,9,5
1699.4148045042884,5,19,4
1335.2947277587255,5,14,2
1050.0946903483677,4,11,5
1438.2966927424977,1,20,3
1290.9393475220231,1,15,3
2201.8049126316982,3,18,2
1995.910715131388,1,13,4
2044.735240351712,3,16,5
625.9420922401268,2,15,4
1372.2348877772051,1,20,3
2352.2549866520667,5,14,5
1179.574228471879,5,17,1
2073.166943939002,4,17,2
1684.1090727936864,1,13,3
1793.100950104564,1,12,5
1901.980427599454,3,11,4
1595.8993607520613,2,17,1
1199.2695128012801,3,17,3
2319.479506013118,2,12,4
507.7244981769327,4,9,1
1262.9662554576182,4,12,4
1142.6045546908856,3,19,4
1381.8855871381945,2,11,3
1988.9728903350376,5,10,5
1297.176726876626,1,16,4
2135.735474481085,4,17,2
1091.7140581484214,2,12,1
978.2811271194616,5,20,4
946.2521974486062,4,16,1
2458.1080670461424,2,15,4
841.4533433048725,3,19,2
1745.498944623609,5,9,4
1965.8339459225083,1,13,1
1947.0510355860915,5,16,4
628.9508562409436,4,11,2
1718.3817795138575,2,19,4
1282.7096012149896,5,16,3
2465.51706551239,2,17,4
1845.2402806968796,5,9,1
1829.335827813438,1,9,5
1356.305508235811,1,10,5
1644.3246575583755,2,16,2
1502.4207235237457,2,16,3
1148.1541015029711,3,16,4
1281.9205278752074,4,11,2
2221.583061561879,2,9,5
2090.448399546959,1,14,4
1154.0726630451986,4,14,1
2042.0793435237208,4,18,1
836.2090076396846,4,18,2
1686.6116592323217,4,15,1
2146.2238467607212,4,10,4
2367.9721985070064,1,10,4
869.1622729168168,1,12,5
1543.0195822268238,3,13,4
708.7060853406638,4,11,2
1571.900599954311,4,13,4
1219.7910930945814,2,19,4
1265.4109543175373,4,20,1
857.4545242940399,4,16,5
1047.3001094119113,5,17,5
1613.2979115725518,1,16,3
2055.069241880803,4,13,1
2357.218160619026,1,9,2
1713.8580483789406,3,19,5
1953.0660433996538,5,11,5
1366.0310950354715,5,19,3
1962.1429090488625,1,11,2
1637.275907211254,5,15,2
1355.2078549752657,4,15,5
1672.9643210166957,5,15,5
1831.6187840091156,1,17,3
1150.5726592737888,1,13,4
1045.9248037603497,2,14,2
1828.72913319161,3,19,2
1693.440007997656,2,12,3
2344.3282241075467,2,17,2
2124.4483532742333,3,9,5
1364.8251476153005,5,9,2
598.7041781373055,4,14,1
692.8523574592526,2,13,2
744.5323526949354,3,10,3
1397.7851656296293,5,20,2
1129.0936195381773,4,14,2
735.8897603444294,3,13,5
1961.3886288663841,1,13,2
732.6512763503033,4,9,5
1016.5919386899253,2,16,4
1270.3042532066734,4,17,5
1526.5273839574984,5,14,2
1125.2077720380325,3,12,2
795.4392908013115,2,16,2
710.2056836433186,4,11,3
1966.3207414342487,3,18,5
977.126857780426,3,16,4
1399.3678698692022,4,16,1
2144.5165624240817,1,19,5
1209.9660323307942,4,9,2
1778.6278658706517,5,16,3
710.9472329319,3,10,2
1926.24207514572,1,10,5
2236.6883921095714,5,17,1
1361.371038232504,4,13,4
1330.3843750558858,5,20,2
1921.9863551128085,1,10,2
1840.1496232183051,5,12,5
941.350156224067,1,15,2
2115.126153426861,1,11,4
824.5801227772981,4,10,1
2112.1315564920187,3,12,4
2300.037972371543,4,15,3
1358.6946846223875,1,15,5
1309.0174295546979,1,12,2
2163.4239302244955,3,15,1
2371.9855050692604,3,14,1
2310.3455553563845,3,16,1
1297.7547405817286,5,16,3
1575.0266372374306,3,10,5
1452.8283462961742,3,16,5
535.3590226205745,4,10,2
1800.4438443331962,3,19,3
1744.2746463740707,2,13,1
557.5598283793659,4,20,4
1151.198007607817,5,10,3
1052.6073367910626,2,12,3
1137.5947916289877,2,10,1
1232.179724777899,2,9,5
1204.3408462917528,2,18,5
2080.56493499938,3,15,2
791.3161673056948,5,19,4
1181.4664555504332,5,12,5
1964.0352924637677,5,13,5
858.7114007570378,1,11,2
566.5935230278066,3,19,3
1591.2804055206173,4,12,1
2240.7075439999426,4,19,4
1683.3616500397707,4,18,2
624.0773089910085,1,18,4
2281.011964593208,1,19,5
638.5612869875143,3,13,5
622.926857385897,2,16,2
822.5586133042552,3,9,3
1476.5341200864168,2,19,5
2043.2314381921449,1,16,4
1174.4938900607872,4,10,2
1441.168401701788,4,16,3
1431.7916091119419,3,19,1
930.2737661969891,1,13,2
1943.7169315241415,2,18,2
535.3082700091778,3,16,1
978.585389946506,3,13,3
1218.310675005609,2,17,4
1356.9517878119395,4,18,4
2201.8462769826338,5,14,3
1521.5161837553555,5,17,2
2105.66166069309,4,17,4
892.3757812325106,5,17,3
1103.1764705937076,4,17,2
1559.4483255852358,4,13,2
898.5235782177572,5,15,4
2211.311054176025,5,9,1
1098.219490693807,5,14,1
1990.5156737088596,4,20,4
1662.282415291735,1,20,2
921.7983735449766,2,9,3
1137.6040378994135,5,14,3
1799.7642215366768,2,14,1
2386.4354089238673,3,9,4
653.5872705055667,3,13,3
2246.3572304762324,2,17,4
1416.7466779096221,4,17,5
1820.940723504985,3,20,3
1613.324181457256,2,15,2
1086.0258663310892,4,14,4
2103.018867835073,5,14,4
1965.5223920220944,5,11,5
734.3392349720434,2,19,4
851.9199966398289,5,12,2
1249.8210120462418,5,13,4
2348.1755458340303,5,10,1
675.2636701206271,5,15,1
2381.6407893066043,3,15,5
2444.814596674707,4,19,2
1680.0196369226535,1,11,4
1544.5239760787088,3,10,4
951.3535219576763,1,9,2
920.0163748468069,1,19,2
648.9452344260886,5,12,3
1479.2574143358115,3,16,2
1903.75172923587,5,18,4
512.449038372162,5,15,2
2370.702830681462,4,16,5
1177.6285454334356,2,17,3
1379.7213292160561,3,14,3
2340.7280275084295,3,13,4
983.6527853371733,1,17,1
595.7645498789366,2,15,2
634.8378252974345,3,9,3
800.5699313909571,3,20,4
1097.384245541457,2,13,5
1766.0098424293112,5,11,4
1736.7422772772918,4,12,3
1665.1753615758062,3,15,2
2378.294012733739,4,14,5
1681.7891636598033,2,11,1
1633.7971067260687,5,20,5
866.3518720144942,3,11,4
2206.6412429951206,5,13,1
2390.9143324555343,3,15,5
1966.703385119508,4,13,3
1731.4161627209098,4,20,1
1394.3094194690775,4,15,4
2320.3288621256315,5,12,5
1155.8894827197573,1,18,2
1587.4267646998615,2,13,3
2162.132769442672,3,18,5
640.9283054939415,4,15,5
1321.8963599753556,4,18,3
1352.2451498550058,5,19,2
1209.554792919847,3,14,2
620.2500267608827,3,15,5
1653.2823773947664,1,9,3
1818.630165995954,2,14,2
1306.2086428328957,3,14,4
1113.7598985814816,1,17,4
1331.5669262990482,5,20,2
1912.3805668737534,2,16,4
1721.635055263749,5,12,4
1387.697115224234,3,17,2
1902.726988830564,4,19,1
898.438880284235,4,18,2
1368.4960701918917,1,18,2
994.697981268514,1,9,1
1910.2493719566835,1,19,2
1920.0561528470655,5,15,5
781.7447973018323,3,9,2
2196.564823329667,3,15,1
1875.5908179042988,1,16,2
2063.5634432618417,2,17,5
1714.9304825083243,5,18,3
2148.951866284943,2,19,3
1606.062153200973,2,11,3
1055.0835299480714,4,17,1
1843.1869047116124,2,15,4
971.6035034161453,3,11,5
1983.2879000110495,1,16,1
2386.6513498870145,5,15,2
1424.4333768773035,2,9,3
2260.428055636283,5,11,3
1107.815967761369,1,20,1
2364.851530655669,4,11,5
1539.8047612338028,3,10,2
1515.7117702659182,4,17,3
643.0968722754801,1,20,4
678.6712159062946,5,15,2
1265.0593963702881,5,9,2
1597.2067934690988,1,14,4
1692.531907538841,5,13,1
1933.040322771949,1,20,5
1449.2212147846394,3,15,1
1054.9101242393788,4,17,4
740.3099805212734,2,14,2
1475.3740660524693,1,11,2
1212.561650642622,5,11,4
570.1322412181291,2,19,2
883.604655874537,3,16,4
2367.432811880086,2,14,2
2453.573195713785,3,19,2
2056.2699640297415,1,19,2
753.9896256083102,1,11,1
1144.7055938023402,4,11,4
1779.6120679662652,2,14,2
795.5263668927314,5,19,4
1791.8994197672187,5,14,5
710.217834744899,4,20,2
1252.2446665468467,3,10,4
633.1922489883692,2,17,2
1571.5938789001282,2,18,2
2090.4871002333157,2,19,4
783.9398996225486,4,14,2
1079.7526985153754,3,11,3
558.5959678029085,1,12,1
554.3146807019892,1,9,1
1105.2256586255207,3,20,1
2077.891605917981,2,10,2
1278.8582342383581,2,14,2
1128.3822956571687,4,9,2
817.1442292125621,4,20,5
2475.2724114781995,4,18,2
1765.8091133349844,2,16,3
1431.5125141145809,5,19,3
1253.9141301640361,1,11,5
2034.8751841930107,2,13,5
2004.5076048410974,5,11,5
597.7263440560243,4,20,3
1647.6948099466547,5,12,3
907.0298546429924,1,13,2
1514.6476593318337,5,19,3
1593.4981973503288,1,9,4
908.6266851411207,5,19,2
570.0232794638351,3,14,2
511.26010593184026,5,10,2
1298.0115450761568,2,16,4
1403.1400967200777,1,9,3
2452.5674631847387,1,9,3
1857.7236731649532,4,19,2
1569.5851162595202,3,13,1
1198.6494490511927,3,13,2
866.898542410103,3,20,3
1987.0395961934805,4,12,2
2117.316703555848,2,20,3
550.9823689528707,1,19,4
2318.165431348736,5,20,5
508.64748804156744,5,19,5
1810.0947229196124,2,14,2
1359.1578873836052,2,17,1
1489.9296249344243,3,14,4
1839.9466024766614,5,19,4
1026.1788945492665,5,10,5
2105.373413424406,3,11,3
1796.2131643383534,3,14,3
605.0453109221356,5,20,4
1963.0155348115093,2,20,5
1055.6312599437215,3,16,3
1637.102462150518,2,19,2
1838.6813322313126,1,9,4
1406.731096538624,3,9,5
1422.2315889263796,2,9,4
1896.0044627829373,4,20,1
2289.8114319197884,3,20,2
2466.4719885507775,2,19,3
2074.7896862878056,4,15,2
695.9886115296059,4,11,4
618.3089147924247,1,9,5
576.0252375902213,1,19,1
1192.044175427394,1,14,1
1121.0503998374288,3,18,2
988.7425200479969,2,17,2
2126.2605515079804,5,9,4
624.929817974464,3,19,3
2444.717012630379,1,17,3
634.1125639845959,3,10,4
1998.3175350654853,5,9,2
2304.5973114581047,2,18,1
2105.565346558292,3,13,4
1836.1547934168696,3,18,4
846.1981581878941,3,20,5
1581.4680008953178,1,9,1
2356.6925057384706,4,20,3
2299.6538586221313,3,12,5
1486.0457864058963,3,16,2
1739.6627573868232,1,19,3
835.5876639975141,4,17,4
517.3254271271594,3,12,4
752.6848189449979,3,15,1
579.4877315279407,5,11,4
1415.709616937832,1,15,1
1235.18654069572,2,17,1
1366.648407137418,1,10,4
702.0463455628176,1,20,1
1196.7004613242111,1,19,1
921.0876929215366,4,16,2
2357.935215812287,2,10,5
1806.736080513878,3,19,5
514.0104835857273,4,16,3
595.3965359089209,1,18,5
808.1124407699356,3,13,1
2203.118459982269,3,12,1
997.1149721470863,2,10,3
2182.710770342621,5,10,2
832.9688077884194,1,9,3
2385.040865557039,1,18,2
1767.2620659782176,4,9,3
1636.8186679898083,5,16,2
2016.3796401355203,2,9,4
2085.257859323262,3,11,3
2390.522392095934,2,12,3
1631.2645169087539,1,13,1
697.9559567117577,3,15,4
2175.676094777383,4,15,4
1370.5819274905266,3,14,4
522.2315280614657,5,13,2
2491.7332536163312,4,10,5
2187.9220527879625,3,19,5
842.3958117339265,5,10,5
858.3056620309915,4,20,3
791.1454013561791,2,14,3
1156.5957666258844,3,9,5
2030.3442950818696,5,9,3
1944.1389719803556,1,16,3
2264.4743402119193,5,16,2
1130.71337015589,3,9,3
1373.72182041007,4,20,4
837.5268228992918,4,20,3
1000.4748714493074,3,18,3
1941.1158836842412,4,12,1
1898.7474010369367,3,18,1
580.5906862642431,3,13,1
925.7594328655751,2,17,3
1672.9523371598107,5,15,5
1771.1660447587278,3,19,2
1214.0760315027965,3,20,5
1340.3440668775763,4,11,1
2298.803327754249,3,14,1
946.2700615208774,3,11,5
885.2665154328379,5,20,2
712.7465349662208,4,10,4
2289.614247896851,4,12,1
547.6160803445405,5,12,4
1303.9807998295341,5,20,4
1698.043050985119,3,14,4
2149.1096309984005,2,13,3
994.0378146000896,4,20,4
2417.1618914037645,5,9,5
2209.6443657248815,3,19,2
1335.6849580858966,4,17,5
1768.813809022035,4,11,5
934.7548208727914,3,13,4
1267.2255036015213,4,17,5
2103.2313367092465,2,19,3
1186.2071084413383,4,13,4
743.1423115269156,2,16,3
953.864583787793,5,19,4
597.458167855347,1,18,1
964.3945322042717,2,17,4
1023.8820048752415,3,13,1
1506.4415461502545,5,15,5
686.7853134429885,3,17,3
1600.5870567451054,5,18,4
1349.3888573449376,4,17,1
2060.602502076894,4,11,2
677.706977229156,4,15,3
620.6316779608647,4,19,3
2327.6520831183275,4,12,5
1570.5576218241251,1,11,1
1812.2078678101077,5,9,5
2030.3807825751692,3,11,4
503.57077677443795,1,18,1
1020.6336360972336,1,9,4
2177.8245957983772,1,12,5
739.9901531289856,4,17,3
1592.2580427855767,3,16,1
2355.068995640134,3,9,5
1453.9760695852037,5,13,1
1236.9084616206328,5,13,3
740.7333298120191,1,19,1
1847.4520254755662,2,9,3
1794.0609096128578,3,19,3
2134.313979094626,4,10,5
1163.5684299374298,3,15,4
905.8314452385616,4,12,1
2134.504937679754,3,16,5
2174.5998072377683,3,19,2
1406.7379935569743,3,20,1
942.5964177288124,1,19,3
1188.497780419001,4,14,1
1618.6308732977745,2,19,4
1764.2848076560624,5,17,2
1090.6810060905495,1,17,2
937.7328876114066,5,10,4
2186.323243904526,2,14,5
1377.0279739415755,5,13,5
2161.156996527471,3,16,3
1461.474047452604,1,9,3
575.0092228493008,4,19,3
973.5251312505518,1,14,5
1560.4985216632592,5,14,5
1179.4726509934285,2,19,3
1851.5431732297443,5,19,3
1552.111877249413,5,13,2
2013.0536338506718,1,14,2
1063.1872398424057,2,17,3
1657.4080806285435,2,9,1
1884.0731872083518,2,14,4
1980.5103529754642,3,20,2
1141.590257038576,1,17,5
1667.221770841364,5,11,4
717.0151704653272,5,14,3
1647.842049293804,2,16,5
2043.3067606710865,4,16,2
2288.7498087405943,2,19,5
2491.671760573784,3,19,2
2305.3821225237057,2,16,1
2320.333555539203,5,18,4
2067.0877995218816,4,15,2
752.585409459411,3,16,2
1099.23112826911,3,15,4
2259.1804625297364,2,9,1
2472.764439726201,4,10,2
1374.3628199740106,1,20,1
650.2885495564512,3,13,1
2334.6790390349206,3,11,5
2413.655534793764,2,14,3
1447.8269632504825,1,9,1
1886.7437094330728,3,19,1
